Date,Total_Tweets
2019/12/06,3141
2019/12/07,3203
2019/12/08,3404
2019/12/09,3592
2019/12/10,3201
2019/12/11,3254
2019/12/12,3032
2019/12/13,3068
2019/12/14,2683
2019/12/15,2489
2019/12/16,2995
2019/12/17,2816
2019/12/18,3134
2019/12/19,3075
2019/12/20,2523
2019/12/21,2329
2019/12/22,2571
2019/12/23,2693
2019/12/24,2466
2019/12/25,2463
2019/12/26,3040
2019/12/27,2923
2019/12/28,2605
2019/12/29,2505
2019/12/30,2799
2019/12/31,2418
2020/01/01,2161
2020/01/02,3019
2020/01/03,2750
2020/01/04,2250
2020/01/05,2321
2020/01/06,2762
2020/01/07,2861
2020/01/08,2647
2020/01/09,3260
2020/01/10,3759
2020/01/11,2808
2020/01/12,2602
2020/01/13,3126
2020/01/14,3585
2020/01/15,3644
2020/01/16,3536
2020/01/17,3482
2020/01/18,3331
