,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std,bollinger_up,bollinger_down
2021-01-12 02:59:59.999,2021-01-12 00:00:00,0.16761,0.16929,0.16578,0.16875,42123.5,2021-01-12 00:59:59.999,7094.94295000,93,26436.30000000,4465.84295600,0,0.17424599999999998,0.00650294783358417,0.18725189566716832,0.16124010433283165
2021-01-12 03:59:59.999,2021-01-12 01:00:00,0.16765,0.17144,0.16765,0.16963,56458.0,2021-01-12 01:59:59.999,9612.45114600,117,7365.50000000,1253.16175500,0,0.17370049999999998,0.006404027906017742,0.18650855581203546,0.1608924441879645
2021-01-12 04:59:59.999,2021-01-12 02:00:00,0.16977,0.17106,0.16719,0.17001,67499.0,2021-01-12 02:59:59.999,11445.37798900,76,49484.40000000,8410.34985100,0,0.17333199999999999,0.006393191773491001,0.18611838354698199,0.160545616453018
2021-01-12 05:59:59.999,2021-01-12 03:00:00,0.1707,0.17359,0.16984,0.17359,87654.1,2021-01-12 03:59:59.999,15099.71786700,66,54772.40000000,9458.73545200,0,0.17276799999999998,0.005790938111439965,0.1843498762228799,0.16118612377712005
2021-01-12 06:59:59.999,2021-01-12 04:00:00,0.17359,0.1759,0.17207,0.17331,39435.1,2021-01-12 04:59:59.999,6858.46576000,71,26012.30000000,4529.19108800,0,0.17218300000000003,0.005030156532041898,0.18224331306408384,0.16212268693591622
2021-01-12 07:59:59.999,2021-01-12 05:00:00,0.17423,0.17731,0.1732,0.1761,156427.5,2021-01-12 05:59:59.999,27372.43576400,212,78424.30000000,13729.61558700,0,0.171819,0.004401358522332285,0.18062171704466456,0.16301628295533543
2021-01-12 08:59:59.999,2021-01-12 06:00:00,0.17611,0.17799,0.17551,0.17618,79214.2,2021-01-12 06:59:59.999,13990.64699200,154,36604.40000000,6470.91216300,0,0.1714685,0.003665836983483519,0.17880017396696704,0.16413682603303295
2021-01-12 09:59:59.999,2021-01-12 07:00:00,0.17618,0.17827,0.1753,0.17827,86209.4,2021-01-12 07:59:59.999,15236.20435000,163,44503.80000000,7876.07579100,0,0.171513,0.0037459017605914135,0.17900480352118284,0.16402119647881716
2021-01-12 10:59:59.999,2021-01-12 08:00:00,0.17827,0.18098,0.17422,0.17563,246714.1,2021-01-12 08:59:59.999,43777.12637800,360,105314.10000000,18718.42963500,0,0.171484,0.00370969483778323,0.17890338967556646,0.16406461032443354
2021-01-12 11:59:59.999,2021-01-12 09:00:00,0.17444,0.17695,0.17361,0.17566,53684.5,2021-01-12 09:59:59.999,9378.53186900,103,20324.40000000,3558.95480200,0,0.17157,0.0037887228788383853,0.17914744575767677,0.16399255424232323
2021-01-12 12:59:59.999,2021-01-12 10:00:00,0.17589,0.1759,0.16892,0.17044,62212.8,2021-01-12 10:59:59.999,10651.69341800,124,28028.70000000,4787.91507400,0,0.17130099999999998,0.003659890564944575,0.17862078112988913,0.16398121887011083
2021-01-12 13:59:59.999,2021-01-12 11:00:00,0.17188,0.17319,0.17125,0.17319,22801.0,2021-01-12 11:59:59.999,3926.40982600,50,12135.00000000,2087.62519000,0,0.17148100000000002,0.003659838794264286,0.1788006775885286,0.16416132241147144
2021-01-12 14:59:59.999,2021-01-12 12:00:00,0.17321,0.17637,0.17139,0.17493,151944.2,2021-01-12 12:59:59.999,26377.48989100,197,69095.30000000,11967.73575500,0,0.171827,0.0036414819134958734,0.17910996382699176,0.16454403617300825
