,open_time,close_time,open,high,low,close,volume,num_trades,MA_20,STD_20,Price_Change,Price_Change%,Change,bollinger_up,bollinger_down,above_bound,below_bound,cross_bounds
2021-07-18 02:59:59.999,2021-07-17 00:00:00.000,2021-07-17 23:59:59.999,32.947,32.947,30.007,30.611,43932.186,8839,31.819799999999997,1.595332784950908,-2.29,-6.96,Decrease,33.801665569901814,27.420334430098183,False,False,neutral
2021-07-19 02:59:59.999,2021-07-18 00:00:00.000,2021-07-18 23:59:59.999,30.501,31.992,30.287,30.56,36614.654,6270,31.89235,1.4954322830406828,-0.05,-0.17,Neutral,33.550864566081366,27.569135433918632,False,False,neutral
2021-07-20 02:59:59.999,2021-07-19 00:00:00.000,2021-07-19 23:59:59.999,30.525,30.619,28.47,28.59,20705.107,3306,31.85405,1.571675990280258,-1.97,-6.45,Decrease,31.733351980560517,25.446648019439483,False,False,neutral
2021-07-21 02:59:59.999,2021-07-20 00:00:00.000,2021-07-20 23:59:59.999,28.642,32.0,26.968,29.795,85037.919,16810,31.538599999999995,1.2798145589363927,1.21,4.21,Neutral,32.35462911787279,27.235370882127217,False,True,below
2021-07-22 02:59:59.999,2021-07-21 00:00:00.000,2021-07-21 23:59:59.999,29.84,32.709,29.028,30.978,55150.565,10141,31.4193,1.210004745533227,1.18,3.97,Neutral,33.39800949106645,28.557990508933546,False,False,neutral
2021-07-23 02:59:59.999,2021-07-22 00:00:00.000,2021-07-22 23:59:59.999,31.032,31.501,30.583,31.14,29771.789,5038,31.3913,1.2096466252162827,0.16,0.52,Neutral,33.55929325043257,28.720706749567434,False,False,neutral
2021-07-24 02:59:59.999,2021-07-23 00:00:00.000,2021-07-23 23:59:59.999,31.137,32.36,30.597,32.36,36699.126,6514,31.417600000000004,1.225393960282627,1.22,3.92,Neutral,34.810787920565254,29.909212079434745,False,False,neutral
2021-07-25 02:59:59.999,2021-07-24 00:00:00.000,2021-07-24 23:59:59.999,32.36,34.21,31.767,32.825,39533.155,8413,31.44785,1.2533921247652127,0.47,1.44,Neutral,35.33178424953043,30.318215750469577,False,False,neutral
2021-07-26 02:59:59.999,2021-07-25 00:00:00.000,2021-07-25 23:59:59.999,32.768,39.264,32.581,35.055,152338.98,34572,31.528900000000004,1.4287315279469985,2.23,6.79,Increase,37.912463055893994,32.197536944106005,True,False,above
2021-07-27 02:59:59.999,2021-07-26 00:00:00.000,2021-07-26 23:59:59.999,35.01,37.39,33.475,33.866,123628.635,26369,31.57205,1.487421452150729,-1.19,-3.39,Neutral,36.84084290430146,30.891157095698542,True,False,above
2021-07-28 02:59:59.999,2021-07-27 00:00:00.000,2021-07-27 23:59:59.999,33.851,37.942,33.572,37.197,59396.131,12728,31.77755,1.926770039948848,3.33,9.84,Increase,41.0505400798977,33.343459920102305,False,False,neutral
2021-07-29 02:59:59.999,2021-07-28 00:00:00.000,2021-07-28 23:59:59.999,37.137,37.137,35.022,36.338,48662.444,9212,32.076,2.146829437002695,-0.86,-2.31,Neutral,40.63165887400539,32.04434112599461,False,False,neutral
2021-07-30 02:59:59.999,2021-07-29 00:00:00.000,2021-07-29 23:59:59.999,36.338,38.803,35.812,38.042,61845.529,9988,32.3724,2.527775273156473,1.7,4.69,Neutral,43.097550546312945,32.98644945368706,False,False,neutral
2021-07-31 02:59:59.999,2021-07-30 00:00:00.000,2021-07-30 23:59:59.999,38.042,38.737,36.052,38.719,45352.197,8476,32.7395,2.8836797672422474,0.68,1.78,Neutral,44.48635953448449,32.95164046551551,False,False,neutral
2021-08-01 02:59:59.999,2021-07-31 00:00:00.000,2021-07-31 23:59:59.999,38.735,40.596,37.694,38.338,66503.291,12238,33.0805,3.1247912856620745,-0.38,-0.98,Neutral,44.58758257132415,32.088417428675854,False,False,neutral
2021-08-02 02:59:59.999,2021-08-01 00:00:00.000,2021-08-01 23:59:59.999,38.372,39.733,38.028,38.577,51682.493,9281,33.455400000000004,3.3159629926196836,0.24,0.62,Neutral,45.20892598523937,31.945074014760632,False,False,neutral
2021-08-03 02:59:59.999,2021-08-02 00:00:00.000,2021-08-02 23:59:59.999,38.594,38.784,36.832,38.491,54596.866,7802,33.800650000000005,3.467102996284406,-0.09,-0.22,Neutral,45.42520599256881,31.556794007431186,False,False,neutral
2021-08-04 02:59:59.999,2021-08-03 00:00:00.000,2021-08-03 23:59:59.999,38.567,56.587,37.605,37.895,752623.749,119120,34.125350000000005,3.5339856770778857,-0.6,-1.55,Neutral,44.962971354155776,30.82702864584423,True,False,above
2021-08-05 02:59:59.999,2021-08-04 00:00:00.000,2021-08-04 23:59:59.999,37.895,42.99,37.296,38.891,201910.863,31745,34.5584,3.562074076478185,1.0,2.63,Neutral,46.01514815295637,31.76685184704363,False,False,neutral
2021-08-06 02:59:59.999,2021-08-05 00:00:00.000,2021-08-05 23:59:59.999,38.871,39.656,37.529,39.15,82359.638,13086,34.8709,3.681092785402038,0.26,0.67,Neutral,46.51218557080408,31.787814429195922,False,False,neutral
2021-08-07 02:59:59.999,2021-08-06 00:00:00.000,2021-08-06 23:59:59.999,39.149,39.579,37.6,38.96,86726.3,14446,35.28835,3.645813305769834,-0.19,-0.49,Neutral,46.25162661153967,31.66837338846033,False,False,neutral
2021-08-08 02:59:59.999,2021-08-07 00:00:00.000,2021-08-07 23:59:59.999,38.96,41.5,38.795,39.594,133602.15,24188,35.740050000000004,3.588342301265952,0.63,1.63,Neutral,46.77068460253191,32.417315397468094,False,False,neutral
2021-08-09 02:59:59.999,2021-08-08 00:00:00.000,2021-08-08 23:59:59.999,39.621,40.5,37.959,38.294,103463.326,15729,36.22525,3.2063988141316884,-1.3,-3.28,Neutral,44.706797628263374,31.88120237173662,False,False,neutral
2021-08-10 02:59:59.999,2021-08-09 00:00:00.000,2021-08-09 23:59:59.999,38.28,39.8,37.057,39.274,65685.608,11190,36.699200000000005,2.890939231825385,0.98,2.56,Neutral,45.05587846365077,33.49212153634923,False,False,neutral
2021-08-11 02:59:59.999,2021-08-10 00:00:00.000,2021-08-10 23:59:59.999,39.274,40.924,38.759,39.609,55271.764,10653,37.13075,2.623809622326354,0.34,0.85,Neutral,44.85661924465271,34.36138075534729,False,False,neutral
