,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std
2021-01-10 15:59:59.999,2021-01-10 13:00:00,27.833,28.18,27.687,28.179,630.464,2021-01-10 13:59:59.999,17631.07999800,267,290.78200000,8136.49548900,0,28.747400000000006,0.7907809198241365
2021-01-10 16:59:59.999,2021-01-10 14:00:00,28.094,28.176,27.715,27.824,795.352,2021-01-10 14:59:59.999,22219.13278300,188,245.84400000,6863.96180800,0,28.761950000000002,0.7696554577758954
2021-01-10 17:59:59.999,2021-01-10 15:00:00,27.811,28.579,27.6,28.35,336.46,2021-01-10 15:59:59.999,9430.73930500,168,256.07300000,7196.28084900,0,28.764500000000005,0.768123859255724
2021-01-10 18:59:59.999,2021-01-10 16:00:00,28.397,28.72,28.132,28.206,1905.754,2021-01-10 16:59:59.999,54143.90091000,267,1015.00700000,28951.14898600,0,28.76005,0.77123847598659
2021-01-10 19:59:59.999,2021-01-10 17:00:00,28.206,28.316,27.19,27.4,1399.91,2021-01-10 17:59:59.999,38620.84328200,427,596.08200000,16474.25247700,0,28.713550000000005,0.8247141434588506
2021-01-10 20:59:59.999,2021-01-10 18:00:00,27.418,28.368,27.418,27.742,579.584,2021-01-10 18:59:59.999,16176.70243600,270,176.21200000,4921.92107800,0,28.698199999999996,0.8404411498229977
2021-01-10 21:59:59.999,2021-01-10 19:00:00,27.676,28.055,27.245,27.716,583.18,2021-01-10 19:59:59.999,16149.12845200,280,348.68200000,9673.06611300,0,28.6762,0.8608912517666991
2021-01-10 22:59:59.999,2021-01-10 20:00:00,27.726,28.234,27.016,27.782,1590.412,2021-01-10 20:59:59.999,43566.33959800,581,842.61400000,23038.83456700,0,28.64995,0.8805215245882245
2021-01-10 23:59:59.999,2021-01-10 21:00:00,27.777,27.877,27.471,27.664,385.186,2021-01-10 21:59:59.999,10647.05595400,103,145.92600000,4033.67691600,0,28.5262,0.8328641514297855
2021-01-11 00:59:59.999,2021-01-10 22:00:00,27.664,28.081,27.561,27.562,585.82,2021-01-10 22:59:59.999,16320.05007900,150,80.24900000,2229.54263000,0,28.4043,0.7827076553121393
2021-01-11 01:59:59.999,2021-01-10 23:00:00,27.675,28.0,27.534,27.566,619.197,2021-01-10 23:59:59.999,17127.69550600,143,171.58300000,4762.21420700,0,28.3481,0.8012473105300234
2021-01-11 02:59:59.999,2021-01-11 00:00:00,27.599,27.647,27.0,27.05,828.428,2021-01-11 00:59:59.999,22616.07013200,268,293.32900000,7988.04730200,0,28.2548,0.8393733000531546
2021-01-11 03:59:59.999,2021-01-11 01:00:00,27.0,27.317,27.0,27.317,324.053,2021-01-11 01:59:59.999,8782.97825000,86,28.84900000,784.85668100,0,28.10895,0.7226848679895493
